,Village_st,Samp_count,Ave_DIN_uM,Ave_DIN_uM_ERR,Ave_Sal,aveDIN_BF,aveDIN_BF_ERR,aveDIN_RO,aveDIN_RO_ERR,BFcnt,ROcnt,BF_TF_ratio
17,Amouli_Laloi,11,0.11727996192173834,0.2197793833132139,3.1818181818181817,0.1448839374554498,0.2563796401848723,0.043669360498507746,0.016803814125053343,8,3,0.7272727272727273
18,Amouli_Televai,12,0.07517130375888163,0.04905185743606482,0.0,0.08613031312062545,0.05759680034586424,0.05325328503539398,0.010996889833947643,8,4,0.6666666666666666
19,Aoa_Tapua,12,0.18092782756156545,0.10043478465309583,7.3,0.21113802447131552,0.09586211154659277,0.12050743374206525,0.09078922605762997,8,4,0.6666666666666666
20,Aoa_Vaitolu,12,0.17067719523080885,0.14555143312686308,0.45454545454545453,0.21526327894588831,0.1622424253014853,0.08150502780064994,0.01887795803762116,8,4,0.6666666666666666
21,Fagaitua_Tialu,13,0.1367007403508777,0.17920014653554153,5.743589743589744,0.176677565375642,0.20564767794674543,0.046752884045158094,0.009639923818594765,9,4,0.6923076923076923
22,Fagaitua_Siapapa,13,0.16531789027238952,0.10901160569405352,11.87179487179487,0.14770911173197537,0.0932224038674739,0.2240138187404366,0.15961247757215616,10,3,0.7692307692307693
23,Fagatele_No name,11,0.03691136786064012,0.013954029207002321,0.0,0.03691136786064012,0.013954029207002321,,,11,0,1.0
24,Laulii_Vaitele,12,0.08075498153254579,0.03499598942269944,0.0,0.08037995839849373,0.040354290498670245,0.08150502780064992,0.026263125508510662,8,4,0.6666666666666666
25,Masausi_Panata,12,0.06717081023243747,0.021797229677449577,0.0,0.06525402532506022,0.02349460941078611,0.07100438004719196,0.020608713311129654,8,4,0.6666666666666666
26,Masausi_Vaipito,12,0.06808753344900921,0.031348844156385364,0.0,0.06775417955207402,0.03875342743516585,0.06875424124287954,0.009912725287084293,8,4,0.6666666666666666
27,Masefau_Talaloa,12,0.0872553825227817,0.04294685196147728,14.138888888888891,0.08850545963628859,0.031556887399368766,0.08475522829576787,0.06653417268367509,8,4,0.6666666666666666
28,Afono_Pago,11,0.09773330160144861,0.06195879103602157,0.0,0.09143421173079046,0.05830699046058185,0.10875670887510037,0.07577791077211082,7,4,0.6363636363636364
29,Amalau_Tiaiu,11,0.05800357806672019,0.021020335669944493,0.0,0.059860835492501874,0.022117938652554372,0.05475337757160226,0.021732654434354817,7,4,0.6363636363636364
30,Aua_Lalomauna,10,0.37552316489747295,0.29957305650073923,2.296296296296296,0.27615989261815305,0.18479093321241938,0.6073708002158861,0.4315313514051183,7,3,0.7
31,Fagasa_Leele,11,0.08409609672682788,0.032579469868493416,0.0,0.08600530540927477,0.037592211209157865,0.08075498153254579,0.026236137673314456,7,4,0.6363636363636364
32,Fagasa_Agasii,11,0.14200876009438393,0.1014508243402894,0.14814814814814814,0.183297021329069,0.10754533150275387,0.06975430293368506,0.015393047090434356,7,4,0.6363636363636364
33,Oa_No name,2,0.08400518202766374,0.04808622741579584,0.0,0.08400518202766374,0.04808622741579584,,,2,0,1.0
34,Vatia_Faatafe,12,0.05108648470531534,0.02605909058285978,0.787878787878788,0.04962806140622396,0.029671138659635284,0.054003331303498124,0.020462607947860218,8,4,0.6666666666666666
35,Vatia_Gaoa,12,0.18726155160333377,0.16526158700387344,0.0,0.18076115061309786,0.12787249280084664,0.20026235358380554,0.24829523254310015,8,4,0.6666666666666666
36,Vatia_Lausaa,12,0.06325390194344918,0.024952855500979837,0.0,0.06187881711859158,0.024777308661967295,0.06600407159316436,0.02890391671183736,8,4,0.6666666666666666
37,Tafeu_No name,2,0.05450336214890088,0.01485015846664283,0.0,0.05450336214890088,0.01485015846664283,,,2,0,1.0
